selected features,importance
hsa-mir-30e,11.23246955871582
hsa-mir-1243,10.46999740600586
hsa-mir-3677,10.415356636047363
hsa-mir-4687,10.252582550048828
hsa-mir-4683,9.567688941955566
hsa-mir-3940,9.389261245727539
hsa-mir-421,9.231987953186035
hsa-mir-6073,9.058123588562012
hsa-mir-4730,9.054067611694336
hsa-mir-30c-2,9.024626731872559
hsa-mir-6084,8.950124740600586
hsa-mir-5004,8.908942222595215
hsa-mir-3917,8.813350677490234
hsa-mir-6715b,8.759224891662598
hsa-mir-1254-1,8.713467597961426
hsa-mir-5087,8.645824432373047
hsa-mir-4434,8.636152267456055
hsa-mir-4754,8.54435920715332
hsa-mir-6876,8.524083137512207
hsa-mir-6852,8.524004936218262
hsa-mir-4756,8.47164535522461
hsa-mir-1254-2,8.461507797241211
hsa-mir-4435-1,8.457932472229004
hsa-mir-548b,8.431950569152832
hsa-mir-6788,8.394963264465332
hsa-mir-101-2,8.380650520324707
hsa-mir-142,8.341465950012207
hsa-mir-3129,8.247906684875488
hsa-mir-200c,8.153489112854004
hsa-mir-497,8.107481956481934
hsa-mir-3620,8.06121826171875
hsa-mir-760,8.040180206298828
hsa-mir-6886,7.951408386230469
hsa-mir-1248,7.850083351135254
hsa-mir-6742,7.832274436950684
hsa-mir-7705,7.766308307647705
hsa-mir-3065,7.733985900878906
hsa-mir-6850,7.694438457489014
hsa-mir-3667,7.655573844909668
hsa-mir-3618,7.623280048370361
hsa-mir-4646,7.603701591491699
hsa-mir-4638,7.570605278015137
hsa-mir-34c,7.528034210205078
hsa-mir-6865,7.519058704376221
hsa-mir-4433a,7.506856918334961
hsa-mir-34b,7.496240139007568
hsa-mir-6756,7.441380500793457
hsa-mir-6738,7.425059795379639
hsa-mir-4770,7.411618709564209
hsa-mir-3130-2,7.3727641105651855
hsa-mir-1301,7.327425003051758
hsa-mir-18b,7.312503337860107
hsa-mir-3654,7.292933940887451
hsa-mir-7706,7.2890191078186035
hsa-mir-3934,7.260416507720947
hsa-mir-5706,7.25929069519043
hsa-mir-4717,7.258533000946045
hsa-mir-363,7.241607666015625
hsa-mir-219a-2,7.233303546905518
hsa-mir-664a,7.213461875915527
hsa-mir-29c,7.1653032302856445
hsa-mir-3199-2,7.165041923522949
hsa-mir-4791,7.153969764709473
hsa-mir-582,7.099090576171875
hsa-mir-187,7.035672187805176
hsa-mir-133a-2,7.034176826477051
hsa-mir-5690,6.988345623016357
hsa-mir-365a,6.965618133544922
hsa-mir-3613,6.9326171875
hsa-mir-4640,6.925411224365234
hsa-mir-101-1,6.912613868713379
hsa-mir-148a,6.911027908325195
hsa-mir-3164,6.8958024978637695
hsa-mir-3130-1,6.884033679962158
hsa-mir-320b-2,6.840237140655518
hsa-mir-4676,6.815406322479248
hsa-mir-548e,6.746832847595215
hsa-mir-6836,6.736965656280518
hsa-mir-2114,6.724401950836182
hsa-mir-6507,6.660449028015137
hsa-mir-7850,6.612643241882324
hsa-mir-3191,6.575107574462891
hsa-mir-128-2,6.564260482788086
hsa-mir-4647,6.483492374420166
hsa-mir-4713,6.482786178588867
hsa-mir-34a,6.47554874420166
hsa-mir-4746,6.44155216217041
hsa-mir-6762,6.4359025955200195
hsa-mir-335,6.433846950531006
hsa-mir-1976,6.414348125457764
hsa-mir-550a-3,6.410691261291504
